id,title,doi,authors,domains,type,publication_year,summary,source,created_at,topics
23,"APHRC Annual Performance Review Report
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 21:01:18.610933+00,{}
24,"APHRC Resource Mobilization Strategy 2022-2026
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 21:01:18.864147+00,"{""Health Disparities"",""Health Services""}"
25,"APHRC Organizational Effectiveness Assessment Fact Sheet May 2024
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 21:01:19.118523+00,"{""Health Services""}"
26,"APHRC Organizational Effectiveness Assessment Report May 2024
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 21:01:19.371285+00,{}
27,"A mixed Methods Evaluation of Impact of Short Course Training in Implementation Research in East Africa.
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 21:01:19.623316+00,{}
28,"Special Brown Bag featuring Scholars from the University of Ibadan
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 21:01:19.874502+00,"{""Health Services""}"
29,Case Studies in Urban Health,10.5555/researchnexus-ccfa7a6b404e9d50,{},{},publication,,"Case studies in urban health reveal the complexities of health disparities within cities. They highlight the influence of social, economic, and environmental factors on health outcomes, emphasizing the need for targeted interventions and policies to address these inequities. The findings suggest the importance of considering local context, community engagement, and interdisciplinary approaches in developing effective urban health strategies.",researchnexus,2025-01-12 21:01:37.806455+00,"{""Urban Health"",""Health Disparities""}"
30,Formative evaluation: Presidential Initiative on AIDS Strategy for Communication to Youth,10.5555/researchnexus-f13ddacd6f9eafa8,{},{},publication,,Formative evaluation of the Presidential Initiative on AIDS Strategy for Communication to Youth found that youth-focused messaging effectively reduced sexual risk behaviors and increased knowledge about HIV/AIDS. The evaluation suggests the importance of culturally-tailored messaging and youth-centered approaches in communication strategies aimed at reducing HIV/AIDS transmission among this vulnerable population.,researchnexus,2025-01-12 21:01:39.49541+00,"{""HIV Prevention"",""Adolescent Health""}"
5,"Towards comprehensive sexuality education: a comparative analysis of the policy environment surrounding school-based sexuality education in Ghana, Peru, Kenya and Guatemala",https://doi.org/10.1080/14681811.2018.1533460,"{""Christine Panchaud"",""Sarah Keogh"",""Melissa Stillman"",""Kofi Awusabo‐Asare"",""Angélica Motta"",""Estelle Sidze"",""Ana Silvia Monzón""}","{""Human sexuality"",""Policy analysis"",""Latin Americans"",""Economic growth"",""Sexuality education"",""Gender analysis"",""Political science"",""Education policy"",""Reproductive health"",Sociology,""Public administration"",""Sex education"",""Higher education"",""Gender studies"",Economics,Population,Law,Demography}",publication,2018,"This comparative analysis of school-based sexuality education policies in Ghana, Peru, Kenya, and Guatemala reveals significant variation in content and scope, reflecting differences in cultural, social, and religious contexts. While some policies align with international standards of comprehensive sexuality education, others prioritize abstinence-only approaches, limiting access to essential information and skills for young people's health and well-being.",openalex,2025-01-12 21:00:37.934666+00,"{""Sexual Education"",""Adolescent Health""}"
7,High rate of unplanned pregnancy in the context of integrated family planning and HIV care services in South Africa,https://doi.org/10.1186/s12913-018-2942-z,"{""Oladele Vincent Adeniyi"",""Anthony Idowu Ajayi"",""Mayowa Gabriel Moyaki"",""Daniel Ter Goon"",""Gordana Avramovic"",""John S. Lambert""}","{""Nursing research"",""Health administration"",Medicine,""Health informatics"",""Public health"",""Context (archaeology)"",""Family planning"",""Human immunodeficiency virus (HIV)"",Pregnancy,""Developing country"",""Health services research"",""Family medicine"",Nursing,Obstetrics,""Environmental health"",""Economic growth"",Population,""Research methodology"",Paleontology,Genetics,Biology,Economics}",publication,2018,"Despite integrated family planning and HIV care services in South Africa, the rate of unplanned pregnancy remains high. This indicates that many women who do not desire pregnancy may not be effectively accessing or utilizing available contraceptive services. This highlights the need for improved access, education, and counseling on family planning options for women in the context of integrated HIV care.",openalex,2025-01-12 21:00:42.343959+00,"{""Reproductive Health"",""Maternal Health""}"
