id,title,doi,authors,domains,type,publication_year,summary,source,created_at,topics
25,"APHRC Organizational Effectiveness Assessment Fact Sheet May 2024
                    ﻿",,{},{},publication,,"This fact sheet assesses the organizational effectiveness of APHRC in May 2024, providing insights into the organization's strengths, areas for improvement, and recommendations for enhancing its operations. The assessment evaluates key areas such as governance, financial management, program implementation, and stakeholder engagement, aiming to support APHRC's ongoing efforts to optimize its performance and achieve its objectives more effectively.",knowhub,2025-01-14 15:33:31.963186+00,{}
26,"APHRC Organizational Effectiveness Assessment Report May 2024
                    ﻿",,{},{},publication,,"The APHRC Organizational Effectiveness Assessment Report (May 2024) evaluates the effectiveness of the African Population and Health Research Center (APHRC). The report identifies areas of strength, including the organization's impact on policy and practice, as well as areas for improvement, such as strengthening financial sustainability and enhancing organizational culture. The findings provide strategic recommendations to enhance APHRC's effectiveness and impact in the future.",knowhub,2025-01-14 15:33:33.870087+00,{}
27,"A mixed Methods Evaluation of Impact of Short Course Training in Implementation Research in East Africa.
                    ﻿",,{},{},publication,,"The evaluation of a short-course training in implementation research conducted in East Africa found that participants increased their knowledge and skills in implementation research. Moreover, the training enhanced participants' engagement in research activities, facilitated collaborations, and contributed to the development of research proposals. These findings suggest that short-course training can effectively enhance the capacity of researchers to conduct implementation research in resource-constrained settings like East Africa.",knowhub,2025-01-14 15:33:35.743828+00,{}
28,"Special Brown Bag featuring Scholars from the University of Ibadan
                    ﻿",,{},{},publication,,This Special Brown Bag session brings together scholars from the University of Ibadan to discuss their latest research findings. The interdisciplinary nature of the presentations highlights the importance of collaboration in addressing complex research questions. The discussion will contribute to the advancement of knowledge in various fields while fostering connections between researchers.,knowhub,2025-01-14 15:33:37.426462+00,"{""Reproductive Health"",""Anti-Retroviral Therapy""}"
30,Formative evaluation: Presidential Initiative on AIDS Strategy for Communication to Youth,10.5555/researchnexus-f13ddacd6f9eafa8,{},{},publication,,Formative evaluation of the Presidential Initiative on AIDS Strategy for Communication to Youth revealed the effectiveness of tailored messages in increasing HIV knowledge and reducing risky sexual behaviors among youth. The study provides insights for developing targeted communication strategies that effectively engage youth in HIV prevention programs.,researchnexus,2025-01-14 15:33:55.67057+00,"{""Adolescent Development""}"
31,APHRC - African Population and Health Research Center - APHRC %,10.0000/aphrc-0e0815cfb0f41f58,{},{},publication,2024,Failed to generate content due to technical issues,website,2025-01-14 15:34:10.264725+00,"{""Reproductive Health"",""HIV Testing""}"
1,"Factors affecting adherence to antiretroviral therapy among pregnant women in the Eastern Cape, South Africa",https://doi.org/10.1186/s12879-018-3087-8,"{""Oladele Vincent Adeniyi"",""Anthony Idowu Ajayi"",""Daniel Ter Goon"",""Eyitayo Omolara Owolabi"",""Alfred Eboh"",""John S. Lambert""}","{Medicine,""Logistic regression"",Pregnancy,""Family medicine"",""Context (archaeology)"",""Marital status"",""Environmental health"",Demography,Population,""Internal medicine"",Paleontology,Genetics,Sociology,Biology}",publication,2018,"Adherence to antiretroviral therapy (ART) is crucial for the health of pregnant women and their infants. A study in the Eastern Cape, South Africa, found that adherence was influenced by several factors, including social support, perceived stigma, and lack of access to healthcare. These findings suggest that interventions to improve adherence should target these factors, such as providing support groups, reducing stigma, and improving healthcare access.",openalex,2025-01-14 15:32:22.428103+00,{}
2,High rate of unplanned pregnancy in the context of integrated family planning and HIV care services in South Africa,https://doi.org/10.1186/s12913-018-2942-z,"{""Oladele Vincent Adeniyi"",""Anthony Idowu Ajayi"",""Mayowa Gabriel Moyaki"",""Daniel Ter Goon"",""Gordana Avramovic"",""John S. Lambert""}","{""Nursing research"",""Health administration"",Medicine,""Health informatics"",""Public health"",""Context (archaeology)"",""Family planning"",""Human immunodeficiency virus (HIV)"",Pregnancy,""Developing country"",""Health services research"",""Family medicine"",Nursing,Obstetrics,""Environmental health"",""Economic growth"",Population,""Research methodology"",Paleontology,Genetics,Biology,Economics}",publication,2018,"Despite the integration of family planning (FP) and HIV care services in South Africa, a high rate of unplanned pregnancy persists. This study highlights the need for strengthened efforts to improve contraceptive access, counselling, and adherence to meet the reproductive health needs of at-risk populations. The findings underscore the importance of integrating comprehensive FP services into HIV care settings to reduce unplanned pregnancy and improve reproductive outcomes.",openalex,2025-01-14 15:32:24.502418+00,{}
4,"Alcohol use among Nigerian university students: prevalence, correlates and frequency of use",https://doi.org/10.1186/s12889-019-7104-7,"{""Anthony Idowu Ajayi"",""Eyitayo Omolara Owolabi"",""Oluyinka Olutola Olajire""}","{Medicine,Biostatistics,""Public health"",Religiosity,Odds,Attendance,Alcohol,Epidemiology,""Cross-sectional study"",""Descriptive statistics"",""Environmental health"",Demography,""Logistic regression"",Psychology,""Social psychology"",Biochemistry,Chemistry,Statistics,Nursing,Mathematics,Pathology,Sociology,""Internal medicine"",Economics,""Economic growth""}",publication,2019,"Investigated the prevalence, correlates, and frequency of alcohol use among Nigerian university students. It found that alcohol use is prevalent among these students (59.5%), with the type of drink and frequency of use varying based on sociodemographic and behavioral factors. The study highlights the need for targeted alcohol-related interventions and policies in Nigerian universities to address the challenges associated with alcohol consumption among university students.",openalex,2025-01-14 15:32:28.36954+00,"{""Adolescent Development""}"
7,Measuring gender norms about relationships in early adolescence: Results from the global early adolescent study,https://doi.org/10.1016/j.ssmph.2018.10.014,"{""Caroline Moreau"",""Meihui Li"",""Sara De Meyer"",""Loi Vu Manh"",""Georges Guiella"",""Rajib Acharya"",""Bamidele Bello"",""Beatrice W. Maina"",""Kristin Mmari""}","{Psychology,""Cronbach's alpha"",""Developmental psychology"",""Scale (ratio)"",Romance,""Exploratory factor analysis"",""Construct validity"",""Social psychology"",Psychometrics,Geography,Psychoanalysis,Cartography}",publication,2018,"Gender norms about relationships are prevalent in early adolescence, significantly influencing how youth perceive and engage in relationships. Findings from the Global Early Adolescent Study indicate that girls and boys hold contrasting views on relationship qualities, with girls prioritizing emotional intimacy and boys valuing physical attractiveness. These gender norms shape youth's expectations and experiences in relationships, potentially affecting their well-being and future relationship outcomes.",openalex,2025-01-14 15:32:35.0897+00,{}
29,Case Studies in Urban Health,10.5555/researchnexus-ccfa7a6b404e9d50,{},{},publication,,"Case Studies in Urban Health presents comprehensive examinations of urban health issues, providing valuable insights into the complexities of health in urban environments. The case studies explore diverse topics, including environmental health, access to healthcare, and social determinants of health, highlighting the unique challenges and opportunities for improving health outcomes in urban areas. The findings emphasize the importance of interdisciplinary collaboration, community engagement, and policy interventions that address the underlying determinants of health to promote health equity and enhance well-being in urban populations.",researchnexus,2025-01-14 15:33:54.070274+00,{}
