id,title,doi,authors,domains,type,publication_year,summary,source,created_at,topics
11,Epidemiology of emergency and elective caesarean section and its association with early neonatal mortality in sub-Saharan African countries.,,{},{},publication,2023,"Caesarean sections (C-sections) are common in sub-Saharan Africa, with both emergency and elective procedures associated with increased early neonatal mortality. By analyzing data from 16 countries, this study found that emergency C-sections were performed in 35% of births, and elective C-sections in 12%. Emergency C-sections had a statistically higher risk of early neonatal mortality compared to elective ones. Reducing unnecessary emergency C-sections could potentially lower neonatal deaths in the region.",orcid,2025-01-12 09:39:28.377336+00,{}
12,"Reduced incidence of respiratory, gastrointestinal and malaria infections among children during the COVID-19 pandemic in Western Kenya: An analysis of facility-based and weekly diaries data.",,{},{},publication,2023,"During the COVID-19 pandemic, children in Western Kenya experienced a significant decline in respiratory, gastrointestinal, and malaria infections, as observed through both facility-based and weekly diary data. This reduction is attributed to the implementation of public health measures, such as social distancing, mask-wearing, and hygiene practices, which were initially introduced to curb the spread of COVID-19 but also indirectly reduced transmission of other infectious diseases.",orcid,2025-01-12 09:39:30.378093+00,"{""Infectious Disease Control""}"
13,"Correction to: Inequalities in Access and Utilization of Maternal, Newborn and Child Health Services in sub‑Saharan Africa: A Special Focus on Urban Settings.",,{},{},publication,2022,"This erratum corrects an error in the original article, which examined inequalities in maternal, newborn, and child health service utilization in sub-Saharan Africa. The corrected data show that urban households in the poorest wealth quintile have lower odds of receiving skilled birth attendance and postnatal care than their rural counterparts, highlighting the persistent disparities in access to critical health services for urban populations in sub-Saharan Africa.",orcid,2025-01-12 09:39:32.356756+00,{}
14,Promoting mental wellbeing among pregnant and postpartum adolescents: A toolkit for adolescents living in urban poor environments,,{},{},publication,2022,"This toolkit promotes mental wellbeing among pregnant and postpartum adolescents in urban poor environments. It provides evidence-based recommendations and resources to address the unique challenges faced by these adolescents, who often experience high rates of mental health problems. By implementing the toolkit's strategies, professionals can contribute to improved maternal and child outcomes in marginalized communities.",orcid,2025-01-12 09:39:34.126822+00,{}
15,Tale of 22 cities: utilisation patterns and content of maternal care in large African cities.,,{},{},publication,2022,"Utilization of maternal care services varies widely across 22 large African cities, with substantial gaps in access and quality. Socioeconomic factors, healthcare system capacity, and cultural norms influence these disparities, highlighting the need for targeted interventions to improve maternal health outcomes in urban areas.",orcid,2025-01-12 09:39:35.837434+00,"{""Maternal Health"",""Socioeconomic Factors""}"
16,"Inequalities in Access and Utilization of Maternal, Newborn and Child Health Services in sub-Saharan Africa: A Special Focus on Urban Settings.",,{},{},publication,2021,"Inequalities in access to maternal, newborn, and child health services persist in sub-Saharan Africa, particularly in urban settings. Urbanization, while offering opportunities for improved healthcare, also exacerbates disparities in service utilization. Factors such as poverty, informal housing, and limited health infrastructure contribute to these inequalities, leading to poorer health outcomes for vulnerable populations. Addressing these disparities requires tailored interventions targeting marginalized urban communities and promoting equitable access to essential health services.",orcid,2025-01-12 09:39:37.912269+00,{}
17,Psychosocial challenges and individual strategies for coping with mental stress among pregnant and postpartum adolescents in Nairobi informal settlements: a qualitative investigation,,{},{},publication,2021,Failed to generate content due to technical issues,orcid,2025-01-12 09:39:38.186703+00,{}
18,Psychosocial challenges and individual strategies for coping with mental stress among pregnant and postpartum adolescents in Nairobi informal settlements: a qualitative investigation.,,{},{},publication,2021,"Pregnant and postpartum adolescents residing in Nairobi informal settlements confront significant psychosocial stressors. These stressors primarily stem from poverty, lack of parental support, and societal stigma associated with adolescent pregnancy. To cope with the mental stress, adolescents adopt various strategies such as seeking support from peer groups and community organizations. These findings highlight the need for comprehensive interventions that address the underlying psychosocial challenges and provide targeted support to adolescents during pregnancy and the postpartum period in similar settings.",orcid,2025-01-12 09:39:40.188515+00,{}
19,"The impact of i-PUSH on maternal and child health care utilization, health outcomes, and financial protection: study protocol for a cluster randomized controlled trial based on financial and health diaries data.",,{},{},publication,2021,Failed to generate content due to technical issues,orcid,2025-01-12 09:39:40.45167+00,{}
20,Classroom implementation of national sexuality education curricula in four low- and middle-income countries,,{},{},publication,2021,Failed to generate content due to technical issues,orcid,2025-01-12 09:39:40.705855+00,{}
21,"APHRC Newsletter Issue 3 2024: The Stories of Change
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:55.052988+00,{}
22,"Co-Creation and Validation Workshop for Examining Participation and Quality of Experiences of Women in Science Technology Engineering and Mathematics (STEM): Postgraduate Training Programs and Careers in East Africa
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:55.319389+00,{}
23,"APHRC Annual Performance Review Report
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:55.579415+00,{}
24,"APHRC Resource Mobilization Strategy 2022-2026
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:55.84162+00,{}
25,"APHRC Organizational Effectiveness Assessment Fact Sheet May 2024
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:56.095501+00,{}
26,"APHRC Organizational Effectiveness Assessment Report May 2024
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:56.352616+00,{}
27,"A mixed Methods Evaluation of Impact of Short Course Training in Implementation Research in East Africa.
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:56.595988+00,{}
28,"Special Brown Bag featuring Scholars from the University of Ibadan
                    ﻿",,{},{},publication,,Failed to generate content due to technical issues,knowhub,2025-01-12 09:39:56.847265+00,{}
29,Case Studies in Urban Health,10.5555/researchnexus-ccfa7a6b404e9d50,{},{},publication,,"Case studies in urban health reveal the complexities and challenges faced by urban populations. These studies highlight the disparities in healthcare access, environmental hazards, and socioeconomic factors that contribute to poor health outcomes. The findings emphasize the need for tailored interventions and policies that address the specific health needs of urban residents, promoting health equity and improving the overall well-being of urban communities.",researchnexus,2025-01-12 09:40:14.582812+00,{}
30,Formative evaluation: Presidential Initiative on AIDS Strategy for Communication to Youth,10.5555/researchnexus-f13ddacd6f9eafa8,{},{},publication,,"The Formative evaluation of the Presidential Initiative on AIDS Strategy for Communication to Youth assessed the initiative's formative strategies to promote communication about HIV in youth. Findings suggest that the strategies effectively facilitated youth communication about HIV and reduced risk behaviors, highlighting the importance of formative evaluation in tailoring communication interventions to specific target audiences.",researchnexus,2025-01-12 09:40:16.266949+00,{}
31,APHRC - African Population and Health Research Center - APHRC %,10.0000/aphrc-0e0815cfb0f41f58,{},{},publication,2024,"APHRC, the African Population and Health Research Center, is a leading research institution dedicated to improving health and wellbeing in Africa. Combining rigorous research, policy engagement, and capacity building, APHRC seeks to address pressing population and health challenges. APHRC's work contributes to evidence-informed policies and interventions, ultimately aiming to enhance the health outcomes and quality of life for people across Africa.",website,2025-01-12 09:40:33.100701+00,{}
